Event Name,Date,Player1,Player1 UTR,Player2,Player2 UTR,Score
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Emon Van Loben Sels,13.59,Patrik Meszaros,12.58,"6-4, 6-1"
"Dual Match: University of California, Los Angeles vs University of Wisconsin-Madison",2025-04-17,Kaylan Bigun,13.17,Edouard Aubert,12.0,"7-5, 6-1"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Alexander Hoogmartens,13.0,Vuk Radjenovic,12.69,"3-6, 6-1, 6-1"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Kaylan Bigun,13.17,Matthew Forbes,13.0,"6-3, 5-4"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Rudy Quan,13.67,Ozan Baris,13.83,"6-1, 6-2"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Emon Van Loben Sels,13.59,Max Sheldon,13.43,"6-2, 6-4"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Giacomo Revelli,12.0,Danial Rakhmatullayev,12.0,"7-5, 4-3"
"Dual Match: Michigan State University vs University of California, Los Angeles",2025-04-12,Aadarsh Tripathi,12.94,Mitchell Sheldon,12.61,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Rudy Quan,13.67,William Cooksey,12.0,"6-3, 6-3"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Kaylan Bigun,13.17,Patorn HANCHAIKUL,12.71,"6-3, 3-6, 1-0"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Giacomo Revelli,12.0,Mert Oral,12.0,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Emon Van Loben Sels,13.59,Bjorn Swenson,12.97,"7-5, 5-1"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Alexander Hoogmartens,13.0,Nicholas Steiglehner,12.71,"6-4, 6-3"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Gianluca Ballotta,12.0,Alex Cairo,12.34,"6-3, 6-2"
"Dual Match: University of California, Los Angeles vs Pennsylvania State University",2025-04-05,Sam Bossem,11.0,Emon Van Loben Sels,13.59,"1-6, 6-5"
"Dual Match: University of California, Los Angeles vs Pennsylvania State University",2025-04-05,Alexander Hoogmartens,13.0,reiya hattori,12.0,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs Pennsylvania State University",2025-04-05,Rudy Quan,13.67,Charl Morgan,12.0,"6-3, 6-3"
"Dual Match: University of California, Los Angeles vs Pennsylvania State University",2025-04-05,Kaylan Bigun,13.17,Marcus Schoeman,12.0,"6-4, 6-2"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Aidan Kim,13.75,Emon Van Loben Sels,13.59,"5-7, 6-4"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Brandon Carpico,12.0,Giacomo Revelli,12.0,"6-0, 7-6(5)"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Alexander Bernard,13.33,Rudy Quan,13.67,"7-6(5), 0-6"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-03,Aidan Kim,13.75,Emon Van Loben Sels,13.59,"5-7, 5-4"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,William Jansen,13.24,Kaylan Bigun,13.17,"6-3, 7-6(7)"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Jack Anthrop,13.66,Alexander Hoogmartens,13.0,"6-1, 6-3"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-03,Alexander Bernard,13.33,Rudy Quan,13.67,"7-6(5), 0-6, 3-1"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Bryce Nakashima Nakashima,13.31,Aadarsh Tripathi,12.94,"7-5, 4-3"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Karl Lee,13.0,Giacomo Revelli,12.0,"6-2, 6-4"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Emon Van Loben Sels,13.59,Volodymyr Iakubenko,12.73,"7-6(4), 6-4"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Oscar Weightman,13.15,Alexander Hoogmartens,13.0,"5-7, 6-4, 6-3"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Makk Peter,13.7,Rudy Quan,13.67,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Nathan Trouve,13.18,Kaylan Bigun,13.17,"1-6, 6-0, 6-1"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Aadarsh Tripathi,12.94,Matteo Morazzi,12.0,"7-5, 2-6, 6-1"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Kaylan Bigun,13.17,Soham Purohit,12.0,"5-7, 6-1"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Rudy Quan,13.67,César BOUCHELAGHEM,13.5,"6-4, 4-4"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Aadarsh Tripathi,12.94,Ivan Sodan,12.0,"6-4, 6-2"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Alexander Hoogmartens,13.0,Nedim Suko,12.29,"6-2, 6-3"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Giacomo Revelli,12.0,Rohan Belday,11.92,"6-1, 6-4"
"Dual Match: University of Washington vs University of California, Los Angeles",2025-03-29,Emon Van Loben Sels,13.59,Dzianis ZHARYN,13.0,"6-3, 5-4"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Aadarsh Tripathi,12.94,Clément LEMIRE,12.0,"4-6, 4-3"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Kaylan Bigun,13.17,Paris Pouatcha,12.0,"6-3, 6-3"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Gianluca Ballotta,12.0,Matthew BURTON,12.0,"3-6, 6-2, 1-1"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Rudy Quan,13.67,Lenn Luemkemann,12.0,"6-3, 5-3"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Giacomo Revelli,12.0,Lachlan Robertson,12.0,"6-0, 6-2"
"Dual Match: University of Oregon vs University of California, Los Angeles",2025-03-28,Emon Van Loben Sels,13.59,Vlad Cristian Breazu,12.9,"6-2, 6-4"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Greyson Casey,12.0,Alexander Hoogmartens,13.0,"5-7, 4-3"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Chad Miller,12.0,Gianluca Ballotta,12.0,"4-6, 6-3"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Aadarsh Tripathi,12.94,Max Bengtsson,12.0,"6-2, 7-5"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Saiprakash Goli,12.0,Rudy Quan,13.67,"7-5, 3-3"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Emon Van Loben Sels,13.59,Felix Benjamin Nordby,12.0,"6-2, 6-4"
"Dual Match: University of California, Los Angeles vs Northwestern University",2025-03-22,Giacomo Revelli,12.0,Vincent Yang,11.0,"6-3, 6-4"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Emon Van Loben Sels,13.59,Jeremy Zhang,12.28,"6-1, 6-4"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Mathis DEBRU,12.0,Gianluca Ballotta,12.0,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Aadarsh Tripathi,12.94,Zachary Viiala,12.0,"6-4, 6-0"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Alexander Hoogmartens,13.0,Tyler Bowers,12.77,"6-1, 6-0"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,Kenta Miyoshi,13.92,Rudy Quan,13.67,"7-6(5), 5-1"
"Dual Match: University of California, Los Angeles vs University of Illinois at Urbana-Champaign",2025-03-20,William Mroz Mroz,13.3,Kaylan Bigun,13.17,"6-2, 3-6, 4-0"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Gianluca Ballotta,12.0,Maj Premzl,12.0,"6-2, 7-6(4)"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Kaylan Bigun,13.17,Juan David Velasquez,12.0,"6-0, 6-2"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Emon Van Loben Sels,13.59,henrik villanger,12.0,"6-2, 6-1"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Rudy Quan,13.67,Aleksa Krivokapic,12.0,"4-6, 6-3, 1-0(3)"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Giacomo Revelli,12.0,Nour Fathalla,12.0,"6-3, 6-1"
"Dual Match: Purdue University vs University of California, Los Angeles",2025-03-08,Alexander Hoogmartens,13.0,Stefan Simeunovic Oakville,12.0,"7-5, 6-1"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Rudy Quan,13.67,Deacon Thomas,12.0,"6-2, 6-4"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Alexander Hoogmartens,13.0,Sam Scherer,12.04,"7-6(3), 3-6, 1-0(7)"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Kaylan Bigun,13.17,Jip Van Assendelft,12.0,"6-3, 6-3"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Gianluca Ballotta,12.0,Karan Raghavendra,11.0,"6-2, 6-2"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Emon Van Loben Sels,13.59,Benjamin Pomeranets,12.0,"6-3, 6-2"
"Dual Match: Indiana University vs University of California, Los Angeles",2025-03-06,Aadarsh Tripathi,12.94,Braeden Gelletich,12.0,"6-3, 6-4"
"Indian Wells, USA",2025-03-04,Yosuke Watanuki,14.72,Rudy Quan,13.67,"6-3, 6-2"
"Indian Wells, USA",2025-03-03,Rudy Quan,13.67,Federico Agustin Gomez,14.35,"6-4, 7-5"
"ATP Challenger San Diego, USA",2025-02-23,Stefan Dostanic,14.06,Rudy Quan,13.67,"6-2, 6-4"
"ATP Challenger San Diego, USA",2025-02-23,Sebastian Gima,13.37,Kaylan Bigun,13.17,"6-4, 6-1"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Emon Van Loben Sels,13.59,Oscar Weightman,13.15,"6-2, 6-1"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Matteo Morazzi,12.0,Aadarsh Tripathi,12.94,"6-3, 1-6, 6-4"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Alexander Hoogmartens,13.0,Volodymyr Iakubenko,12.73,"6-3, 6-2"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Nathan Trouve,13.18,Kaylan Bigun,13.17,"7-5, 6-2"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Rudy Quan,13.67,Makk Peter,13.7,"6-2, 6-3"
"Dual Match: University of Southern California vs University of California, Los Angeles",2025-02-21,Karl Lee,13.0,Gianluca Ballotta,12.0,"7-5, 2-6, 6-2"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Alexander Hoogmartens,13.0,Aleksa Pisaric,12.66,"7-6(3), 6-4"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Edward Winter,13.45,Rudy Quan,13.67,"4-6, 6-0, 6-2"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Linus Carlsson Halldin,12.0,Emon Van Loben Sels,13.59,"6-7(7), 6-4, 7-6(3)"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Lasse Poertner,13.12,Aadarsh Tripathi,12.94,"7-6(3), 7-6(5)"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Gianluca Ballotta,12.0,David Fix,12.73,"6-7(7), 7-6(3), 5-4"
"Dual Match: Pepperdine University vs University of California, Los Angeles",2025-02-15,Kaylan Bigun,13.17,Maximilian Homberg,13.2,"6-2, 6-3"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Henry von der Schulenburg,13.0,Alexander Hoogmartens,13.0,"6-4, 6-4"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Emon Van Loben Sels,13.59,Max Basing,13.39,"3-6, 6-4, 5-2"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Hudson Rivera,12.0,Aadarsh Tripathi,12.94,"4-6, 7-5, 6-3"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Giacomo Revelli,12.0,Nicholas Godsick,13.1,"6-7(7), 7-6(3), 4-3"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Gianluca Ballotta,12.0,Alexander Razeghi,13.02,"6-4, 6-7(9), 1-0"
"Dual Match: Stanford University vs University of California, Los Angeles",2025-02-01,Samir Banerjee,13.75,Spencer Johnson,13.47,"6-3, 3-6, 6-4"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Spencer Johnson,13.47,Alexander Chang,13.0,"7-6(1), 6-7(7), 2-2"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Alexander Hoogmartens,13.0,Derrick Chen,13.0,"6-3, 6-1"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Timofey Stepanov,13.18,Giacomo Revelli,12.0,"6-4, 6-4"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Bernardo Munk Mesa,12.5,Gianluca Ballotta,12.0,"7-6(5), 6-4"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Emon Van Loben Sels,13.59,Theodore Dean,13.4,"6-4, 6-3"
"Dual Match: University of California, Berkeley vs University of California, Los Angeles",2025-01-31,Carl Emil Overbeck,13.49,Rudy Quan,13.67,"6-7(7), 6-3, 6-4"
"ATP Challenger Cleveland, USA",2025-01-30,Stefan Kozlov,14.35,Kaylan Bigun,13.17,"6-2, 6-3"
"ATP Challenger Cleveland, USA",2025-01-28,Kaylan Bigun,13.17,Radu Albot,14.03,"6-3, 7-6(7)"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Spencer Johnson,13.47,Thomas Paulsell,13.0,"6-2, 7-6(3)"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Aadarsh Tripathi,12.94,Gabriele Vulpitta,12.62,"6-1, 6-3"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Emon Van Loben Sels,13.59,Niels RATIU,12.8,"6-3, 4-6"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Rudy Quan,13.67,Ryan Colby,13.3,"6-2, 6-3"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Alexander Hoogmartens,13.0,Oscar Pinto Sansano,13.0,"6-1, 7-5"
"Dual Match: University of Georgia vs University of California, Los Angeles",2025-01-25,Miguel Perez Pena,13.0,Kaylan Bigun,13.17,"7-5, 6-4"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Théo PAPAMALAMIS,13.64,Spencer Johnson,13.47,"6-3, 6-1"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Jerry Roddick,13.0,Rudy Quan,13.67,"6-3, 2-6, 6-3"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Giulio Perego,12.68,Aadarsh Tripathi,12.94,"6-2, 6-2"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Alexander Hoogmartens,13.0,Togan Tokac,13.0,"6-4, 6-3"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Emon Van Loben Sels,13.59,Tiago PIRES,13.19,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs Texas A&M University",2025-01-24,Luke Casper,13.04,Kaylan Bigun,13.17,"6-4, 6-3"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Aadarsh Tripathi,12.94,Neo Niedner,12.77,"6-3, 6-1"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Adrien Berrut,12.71,Alexander Hoogmartens,13.0,"7-5, 6-4"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Rudy Quan,13.67,Iiro Vasa,12.9,"6-3, 7-6(5)"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Stian Klaassen,13.16,Emon Van Loben Sels,13.59,"6-4, 5-7, 6-4"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Oliver Tarvet,13.97,Spencer Johnson,13.47,"7-6(2), 6-4"
"Dual Match: University of San Diego vs University of California, Los Angeles",2025-01-19,Savriyan Danilov,13.39,Kaylan Bigun,13.17,"6-3, 5-7, 2-0"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Spencer Johnson,13.47,Noah Zamora,12.96,"6-3, 6-4"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Rudy Quan,13.67,Andy Nguyen,13.13,"6-4, 6-3"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Alexander Hoogmartens,13.0,Lawee Sherif,12.0,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Rithvik Krishna,12.0,Emon Van Loben Sels,13.59,"6-7(7), 5-4"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Aadarsh Tripathi,12.94,Huang RUINING,12.0,"6-4, 7-6(4)"
"Dual Match: University of California, Los Angeles vs University of California, Irvine",2025-01-16,Hiroki Sakagawa,12.63,Kaylan Bigun,13.17,"7-6(7), 5-2"
PTT Los Angeles Men,2025-01-04,Emon Van Loben Sels,13.59,Aadarsh Tripathi,12.94,"3-6, 6-4, 6-2"
PTT Los Angeles Men,2025-01-04,Emon Van Loben Sels,13.59,Aadarsh Tripathi,12.94,"3-6, 6-4, 6-2"
PTT Los Angeles Men,2025-01-03,Emon Van Loben Sels,13.59,Alexander Hoogmartens,13.0,
PTT Los Angeles Men,2025-01-03,Aadarsh Tripathi,12.94,Hudson Rivera,12.0,"6-4, 7-6(6)"
PTT Los Angeles Men,2025-01-03,Emon Van Loben Sels,13.59,Alexander Hoogmartens,13.0,
M15 HUAMANTLA,2024-12-09,Juan Jose Bianchi,12.73,Cassius Chinlund,12.35,"6-2, 6-2"
M15 HUAMANTLA,2024-12-08,Cassius Chinlund,12.35,Juan Pablo Valdez Guzon,12.04,
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Timo Legout,14.29,Spencer Johnson,13.47,"6-3, 6-2"
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Spencer Johnson,13.47,Kenta Miyoshi,13.92,"6-3, 6-4"
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Spencer Johnson,13.47,Duncan Chan,12.97,"3-6, 6-3, 6-4"
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Spencer Johnson,13.47,Braden Shick,13.52,"6-1, 3-6, 7-6(4)"
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Emon Van Loben Sels,13.59,Alexander Chang,13.0,"6-2, 7-5"
2024-25 NCAA Division I Men's Tennis Championship,2024-11-23,Corey Craig,13.62,Emon Van Loben Sels,13.59,"6-2, 6-2"
2024 ITA Division I Men's West Sectional,2024-11-19,Alexander Chang,13.0,Alexander Hoogmartens,13.0,"6-4, 6-4"
2024 ITA Division I Men's West Sectional,2024-11-19,Alexander Hoogmartens,13.0,Andy Nguyen,13.13,"6-3, 6-1"
2024 ITA Division I Men's West Sectional,2024-11-19,Timofey Stepanov,13.18,Gianluca Ballotta,12.0,"6-0, 7-6(3)"
2024 ITA Division I Men's West Sectional,2024-11-19,Aadarsh Tripathi,12.94,Soham Purohit,12.0,"0-6, 6-3, 6-2"
2024 ITA Division I Men's West Sectional,2024-11-19,Theodore Dean,13.4,Aadarsh Tripathi,12.94,"7-5, 6-1"
2024 ITA Division I Men's West Sectional,2024-11-19,Alexander Hoogmartens,13.0,Nedim Suko,12.29,"6-3, 6-2"
2024 ITA Division I Men's West Sectional,2024-11-19,Aadarsh Tripathi,12.94,Makk Peter,13.7,"6-2, 6-2"
2024 ITA Division I Men's West Sectional,2024-11-19,Timofey Stepanov,13.18,Aadarsh Tripathi,12.94,"5-7, 6-3, 6-4"
2024 ITA Division I Men's West Sectional,2024-11-19,Emon Van Loben Sels,13.59,Alexander Hoogmartens,13.0,"6-4, 6-1, 6-2"
2024 ITA Division I Men's West Sectional,2024-11-19,Emon Van Loben Sels,13.59,Derrick Chen,13.0,"6-3, 3-6, 6-4"
2024 ITA Division I Men's West Sectional,2024-11-19,Emon Van Loben Sels,13.59,Max Basing,13.39,"6-2, 6-2"
2024 ITA Division I Men's West Sectional,2024-11-19,Maximilian Homberg,13.2,Emon Van Loben Sels,13.59,"6-2, 7-5"
2024 ITA Division I Men's West Sectional,2024-11-19,Emon Van Loben Sels,13.59,Alexander Hoogmartens,13.0,"6-4, 6-1, 6-2"
PTT $25K Malibu Men,2024-11-17,Giacomo Revelli,12.0,Alexander ANEY,12.0,"6-4, 7-6(4)"
PTT $25K Malibu Men,2024-11-16,Giacomo Revelli,12.0,Robert Shelton,12.0,"6-3, 6-4"
M25 Saint Augustin de Desmaures,2024-11-06,Filip Duda,13.49,Kaylan Bigun,13.17,"6-7(8), 6-2, 6-2"
Dennis Rizza Intercollegiate Classic at Jack Kramer club,2024-11-02,Matthias Uwe Kask,12.6,Leonard Von Bismarck,11.0,"6-1, 6-3"
Dennis Rizza Intercollegiate Classic at Jack Kramer club,2024-11-02,Alexander Rozin,12.0,Giacomo Revelli,12.0,"6-3, 6-3"
"ATP Challenger Charlottesville, USA",2024-10-27,Toby Kodat,13.79,Kaylan Bigun,13.17,"7-5, 6-4"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Spencer Johnson,13.47,Dominique Rolland,12.0,"6-2, 6-1"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Spencer Johnson,13.47,Savriyan Danilov,13.39,"7-5, 7-6(2)"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Emon Van Loben Sels,13.59,Bastiaan Weststrate,12.0,"6-1, 6-3"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Spencer Johnson,13.47,Sean Kamyshev,11.0,"6-1, 6-2"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Spencer Johnson,13.47,Diogo Morais,12.76,"6-2, 7-6(8)"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Tristan Bradley,12.0,Giacomo Revelli,12.0,"6-4, 6-4"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Giacomo Revelli,12.0,Huang RUINING,12.0,"6-2, 3-6, 7-6(10)"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Noah Zamora,12.96,Emon Van Loben Sels,13.59,"6-2, 6-1"
2024 ITA DI Men's Southwest Regional Championships,2024-10-21,Emon Van Loben Sels,13.59,Tanner Povey,12.0,"6-4, 6-2"
